Options:
Model:                           Discrete: Independent
Tree File Name:                  Bayestraits/Independent/atl_sl.bttrees
Data File Name:                  Bayestraits/Independent/atl_sl.btdata
Log File Name:                   Bayestraits/Independent/atl_sl.btdata.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2523175469
Precision:                       64 bits
Cores:                           16
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   Bayestraits/Independent/atl_sl.btdata.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      1
     Taxa:                       111
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
154000	-104.344334	1	0.017533	0.142927	4.722718	4.173557	0.494461	0.494461	0.005539	0.005539	
155000	-97.470381	1	0.030954	0.067610	0.181117	0.180108	0.073616	0.925150	0.000091	0.001143	
156000	-99.705092	1	0.051648	0.319704	0.169359	0.149783	0.061228	0.841767	0.006577	0.090427	
157000	-103.789345	1	0.039258	0.263963	14.515771	8.804380	0.469790	0.469790	0.030210	0.030210	
158000	-99.811030	1	0.054981	0.060574	0.112222	0.141042	0.022448	0.976601	0.000021	0.000929	
159000	-104.012437	1	0.028659	0.160846	19.277222	8.747804	0.492007	0.492007	0.007993	0.007993	
160000	-103.729790	1	0.021669	0.196239	9.830481	7.775105	0.486473	0.486473	0.013527	0.013527	
161000	-102.616947	1	0.018967	0.087672	36.872938	21.108532	0.498688	0.498688	0.001312	0.001312	
162000	-103.631815	1	0.010836	0.082685	10.227215	6.537583	0.498929	0.498929	0.001071	0.001071	
163000	-103.324370	1	0.014038	0.146968	7.060666	4.549711	0.494062	0.494062	0.005938	0.005938	
164000	-103.030960	1	0.022860	0.089399	10.517415	5.277953	0.498591	0.498591	0.001409	0.001409	
165000	-97.838267	1	0.025358	0.106414	0.105188	0.121825	0.019835	0.975378	0.000095	0.004692	
166000	-102.328325	1	0.036693	0.137234	0.777166	0.422682	0.463077	0.526492	0.004881	0.005550	
167000	-102.427154	1	0.024012	0.108050	4.741926	2.755342	0.497505	0.497505	0.002495	0.002495	
168000	-99.947784	1	0.021057	0.291217	0.270032	0.179356	0.182745	0.743820	0.014484	0.058952	
169000	-110.067904	1	0.112789	0.642208	2.973833	1.631671	0.327207	0.327208	0.172792	0.172793	
170000	-102.722718	1	0.036867	0.120744	4.176298	2.606789	0.496400	0.496400	0.003600	0.003600	
171000	-103.484513	1	0.045250	0.117791	10.252582	7.257345	0.496565	0.496565	0.003435	0.003435	
172000	-103.510136	1	0.025312	0.145895	6.304700	5.248388	0.493991	0.493991	0.006009	0.006009	
173000	-97.773415	1	0.030351	0.087173	0.166298	0.129297	0.072881	0.924446	0.000195	0.002478	
174000	-103.066300	1	0.034056	0.168641	12.744128	9.324839	0.490741	0.490741	0.009259	0.009259	
175000	-105.577204	1	0.050645	0.408147	10.601416	6.638289	0.419315	0.419315	0.080685	0.080685	
